,Country,Indicator,Gender,Education_Level,Wealth_Quintile,Residence,Data_Year,Percentage,Data_Source
328,Gambia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2013.0,66.809624,DHS 2013
329,Gambia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2013.0,85.165009,DHS 2013
330,Gambia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2013.0,45.837669,DHS 2013
331,Gambia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2013.0,75.165939,DHS 2013
332,Gambia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2013.0,62.08604,DHS 2013
335,Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,9.8955812,MICS 2018-19
336,Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,14.18554,MICS 2018-19
337,Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,16.656349,MICS 2018-19
338,Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,32.717258,MICS 2018-19
339,Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,57.118462,MICS 2018-19
340,Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,14.27457,MICS 2018-19
341,Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,47.272449,MICS 2018-19
342,Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,27.22732,MICS 2018-19
345,Guatemala,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2015.0,55.680069,DHS 2014-15
346,Guatemala,Completion rate for children of primary school age,Total,Primary education,Second,Total,2015.0,71.041023,DHS 2014-15
347,Guatemala,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2015.0,78.431488,DHS 2014-15
348,Guatemala,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2015.0,90.566803,DHS 2014-15
349,Guatemala,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2015.0,96.175423,DHS 2014-15
350,Guatemala,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2015.0,72.200447,DHS 2014-15
351,Guatemala,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2015.0,86.626572,DHS 2014-15
352,Guatemala,Completion rate for children of primary school age,Total,Primary education,Total,Total,2015.0,78.057869,DHS 2014-15
355,Guyana,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2020.0,93.012062,MICS 2019-20
356,Guyana,Completion rate for children of primary school age,Total,Primary education,Second,Total,2020.0,97.849838,MICS 2019-20
357,Guyana,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2020.0,98.491371,MICS 2019-20
358,Guyana,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2020.0,100.0,MICS 2019-20
359,Guyana,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2020.0,98.41507,MICS 2019-20
360,Guyana,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2020.0,97.126991,MICS 2019-20
361,Guyana,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2020.0,98.191513,MICS 2019-20
362,Guyana,Completion rate for children of primary school age,Total,Primary education,Total,Total,2020.0,97.366203,MICS 2019-20
365,Honduras,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,72.171349,MICS 2019
366,Honduras,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,84.022171,MICS 2019
367,Honduras,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,90.081596,MICS 2019
368,Honduras,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,95.097641,MICS 2019
369,Honduras,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,98.607224,MICS 2019
370,Honduras,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,82.647682,MICS 2019
371,Honduras,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,93.273811,MICS 2019
372,Honduras,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,87.283363,MICS 2019
375,Haiti,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2017.0,21.877359,DHS 2016-17
376,Haiti,Completion rate for children of primary school age,Total,Primary education,Second,Total,2017.0,40.527248,DHS 2016-17
377,Haiti,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2017.0,52.72599,DHS 2016-17
378,Haiti,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2017.0,70.744148,DHS 2016-17
379,Haiti,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2017.0,80.165398,DHS 2016-17
380,Haiti,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2017.0,42.912041,DHS 2016-17
381,Haiti,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2017.0,69.575302,DHS 2016-17
382,Haiti,Completion rate for children of primary school age,Total,Primary education,Total,Total,2017.0,53.601479,DHS 2016-17
385,Indonesia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2017.0,91.373154,DHS 2017
386,Indonesia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2017.0,97.207031,DHS 2017
387,Indonesia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2017.0,96.903297,DHS 2017
388,Indonesia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2017.0,97.833054,DHS 2017
389,Indonesia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2017.0,99.513367,DHS 2017
390,Indonesia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2017.0,95.400787,DHS 2017
391,Indonesia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2017.0,97.765717,DHS 2017
392,Indonesia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2017.0,96.637947,DHS 2017
395,India,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2016.0,80.299004,DHS 2015-16
396,India,Completion rate for children of primary school age,Total,Primary education,Second,Total,2016.0,91.054001,DHS 2015-16
397,India,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2016.0,94.238998,DHS 2015-16
398,India,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2016.0,96.361,DHS 2015-16
399,India,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2016.0,98.531998,DHS 2015-16
400,India,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2016.0,90.557999,DHS 2015-16
401,India,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2016.0,93.445,DHS 2015-16
402,India,Completion rate for children of primary school age,Total,Primary education,Total,Total,2016.0,91.450996,DHS 2015-16
405,Iraq,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,54.0,MICS 2018
406,Iraq,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,68.400002,MICS 2018
407,Iraq,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,76.900002,MICS 2018
408,Iraq,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,86.599998,MICS 2018
409,Iraq,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,92.5,MICS 2018
410,Iraq,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,68.800003,MICS 2018
411,Iraq,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,79.099998,MICS 2018
412,Iraq,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,75.699997,MICS 2018
415,Jordan,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,90.675774,DHS 2017-18
416,Jordan,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,97.426819,DHS 2017-18
417,Jordan,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,97.850449,DHS 2017-18
418,Jordan,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,99.025909,DHS 2017-18
419,Jordan,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,97.488564,DHS 2017-18
420,Jordan,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,97.427094,DHS 2017-18
421,Jordan,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,96.348396,DHS 2017-18
422,Jordan,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,96.470284,DHS 2017-18
425,Kazakhstan,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2015.0,100.0,MICS 2015
426,Kazakhstan,Completion rate for children of primary school age,Total,Primary education,Second,Total,2015.0,99.900002,MICS 2015
427,Kazakhstan,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2015.0,99.900002,MICS 2015
428,Kazakhstan,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2015.0,100.0,MICS 2015
429,Kazakhstan,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2015.0,99.599998,MICS 2015
430,Kazakhstan,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2015.0,99.900002,MICS 2015
431,Kazakhstan,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2015.0,99.900002,MICS 2015
432,Kazakhstan,Completion rate for children of primary school age,Total,Primary education,Total,Total,2015.0,99.900002,MICS 2015
435,Kenya,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2014.0,58.200001,DHS 2014
436,Kenya,Completion rate for children of primary school age,Total,Primary education,Second,Total,2014.0,75.099998,DHS 2014
437,Kenya,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2014.0,84.099998,DHS 2014
438,Kenya,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2014.0,89.5,DHS 2014
